"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13485","@Web Login and Order product iphone 13 pro","","2026-02-07","passed","2026-02-07","","ClientApp.spec.js","",""
"","14480","@Web Login and Order product ZARA COAT 3","","2026-02-07","passed","2026-02-07","","ClientApp.spec.js","",""
